"VS_F" "FOS" "VS_NAZOV" "preds" "freq_pr" "miestny" "freq_miestny" "sum" "Size"
"135" "TUKE - Rektorát" "Prírodné vedy" "Technická univerzita v Košiciach" 0 0 1 0.5 2 1.4142135623731
"136" "TUKE - Rektorát" "Spoločenské vedy" "Technická univerzita v Košiciach" 0 0 0 0 2 1.4142135623731
"137" "TUKE - Rektorát" "Technické vedy" "Technická univerzita v Košiciach" 0 0 0 0 3 1.73205080756888
"138" "TUKE - Stavebná fakulta" "Prírodné vedy" "Technická univerzita v Košiciach" 0 0 1 0.0434782608695652 23 4.79583152331272
"139" "TUKE - Stavebná fakulta" "Spoločenské vedy" "Technická univerzita v Košiciach" 0 0 1 0.333333333333333 3 1.73205080756888
"140" "TUKE - Stavebná fakulta" "Technické vedy" "Technická univerzita v Košiciach" 1 0.0133333333333333 6 0.08 75 8.66025403784439
"141" "TUKE - Strojnícka fakulta" "Prírodné vedy" "Technická univerzita v Košiciach" 4 0.153846153846154 3 0.115384615384615 26 5.09901951359278
"142" "TUKE - Strojnícka fakulta" "Spoločenské vedy" "Technická univerzita v Košiciach" 0 0 0 0 1 1
"143" "TUKE - Strojnícka fakulta" "Technické vedy" "Technická univerzita v Košiciach" 3 0.0169491525423729 39 0.220338983050847 177 13.3041346956501
"144" "TUZ - Drevárska fakulta" "Humanitné vedy" "Technická univerzita vo Zvolene" 0 0 1 0.333333333333333 3 1.73205080756888
"145" "TUZ - Drevárska fakulta" "Spoločenské vedy" "Technická univerzita vo Zvolene" 3 0.0555555555555556 18 0.333333333333333 54 7.34846922834953
"146" "TUZ - Drevárska fakulta" "Technické vedy" "Technická univerzita vo Zvolene" 0 0 30 0.483870967741935 62 7.87400787401181
"147" "TUZ - Fakulta ekológie a environmentalistiky" "Poľnohospodarske vedy" "Technická univerzita vo Zvolene" 0 0 1 1 1 1
"148" "TUZ - Fakulta ekológie a environmentalistiky" "Prírodné vedy" "Technická univerzita vo Zvolene" 0 0 6 0.1875 32 5.65685424949238
"149" "TUZ - Fakulta environmentálnej a výrobnej techniky" "Technické vedy" "Technická univerzita vo Zvolene" 0 0 36 0.571428571428571 63 7.93725393319377
"150" "TUZ - Lesnícka fakulta" "Lekárske vedy" "Technická univerzita vo Zvolene" 0 0 0 0 3 1.73205080756888
"151" "TUZ - Lesnícka fakulta" "Poľnohospodarske vedy" "Technická univerzita vo Zvolene" 0 0 7 0.145833333333333 48 6.92820323027551
"152" "TUZ - Lesnícka fakulta" "Spoločenské vedy" "Technická univerzita vo Zvolene" 0 0 1 0.111111111111111 9 3
"153" "TUZ - Lesnícka fakulta" "Technické vedy" "Technická univerzita vo Zvolene" 0 0 8 0.380952380952381 21 4.58257569495584
"154" "TUZ - mimo fakúlt" "Poľnohospodarske vedy" "Technická univerzita vo Zvolene" 0 0 0 0 1 1
"155" "UCM - Fakulta masmediálnej komunikácie" "Humanitné vedy" "Univerzita sv. Cyrila a Metoda v Trnave" 43 0.914893617021277 0 0 47 6.85565460040104
"156" "UCM - Fakulta prírodných vied" "Humanitné vedy" "Univerzita sv. Cyrila a Metoda v Trnave" 0 0 0 0 1 1
"157" "UCM - Fakulta prírodných vied" "Prírodné vedy" "Univerzita sv. Cyrila a Metoda v Trnave" 0 0 29 0.475409836065574 61 7.81024967590665
"158" "UCM - Fakulta sociálnych vied" "Lekárske vedy" "Univerzita sv. Cyrila a Metoda v Trnave" 0 0 0 0 1 1
"159" "UCM - Fakulta sociálnych vied" "Spoločenské vedy" "Univerzita sv. Cyrila a Metoda v Trnave" 0 0 1 0.0526315789473684 19 4.35889894354067
"160" "UCM - Filozofická fakulta" "Humanitné vedy" "Univerzita sv. Cyrila a Metoda v Trnave" 2 0.117647058823529 8 0.470588235294118 17 4.12310562561766
"161" "UCM - Filozofická fakulta" "Spoločenské vedy" "Univerzita sv. Cyrila a Metoda v Trnave" 0 0 3 0.333333333333333 9 3
"162" "UCM - Inštitút fyzioterapie, balneológie a liečebnej rehabilitácie" "Lekárske vedy" "Univerzita sv. Cyrila a Metoda v Trnave" 0 0 5 0.25 20 4.47213595499958
"163" "UJS - Ekonomická fakulta" "Prírodné vedy" "Univerzita J. Selyeho" 0 0 1 0.027027027027027 37 6.08276253029822
"164" "UJS - Ekonomická fakulta" "Spoločenské vedy" "Univerzita J. Selyeho" 4 0.235294117647059 1 0.0588235294117647 17 4.12310562561766
"165" "UJS - Pedagogická fakulta" "Humanitné vedy" "Univerzita J. Selyeho" 0 0 2 0.285714285714286 7 2.64575131106459
"166" "UJS - Pedagogická fakulta" "Prírodné vedy" "Univerzita J. Selyeho" 0 0 3 0.0909090909090909 33 5.74456264653803
"167" "UJS - Pedagogická fakulta" "Spoločenské vedy" "Univerzita J. Selyeho" 0 0 0 0 2 1.4142135623731
"168" "UJS - Reformovaná teologická fakulta" "Humanitné vedy" "Univerzita J. Selyeho" 0 0 0 0 2 1.4142135623731
"169" "UK - Centrálna súčasť" "Prírodné vedy" "Univerzita Komenského v Bratislave" 0 0 1 0.333333333333333 3 1.73205080756888
"170" "UK - Evanjelická bohoslovecká fakulta" "Humanitné vedy" "Univerzita Komenského v Bratislave" 0 0 0 0 1 1
"171" "UK - Fakulta managementu" "Spoločenské vedy" "Univerzita Komenského v Bratislave" 1 0.0357142857142857 4 0.142857142857143 28 5.29150262212918
"172" "UK - Fakulta matematiky, fyziky a informatiky" "Humanitné vedy" "Univerzita Komenského v Bratislave" 0 0 0 0 1 1
"173" "UK - Fakulta matematiky, fyziky a informatiky" "Prírodné vedy" "Univerzita Komenského v Bratislave" 0 0 14 0.0278330019880716 503 22.4276614920058
"174" "UK - Fakulta matematiky, fyziky a informatiky" "Spoločenské vedy" "Univerzita Komenského v Bratislave" 0 0 0 0 1 1
"175" "UK - Fakulta sociálnych a ekonomických vied" "Spoločenské vedy" "Univerzita Komenského v Bratislave" 0 0 9 0.310344827586207 29 5.3851648071345
"176" "UK - Fakulta telesnej výchovy a športu" "Spoločenské vedy" "Univerzita Komenského v Bratislave" 1 0.04 5 0.2 25 5
"177" "UK - Farmaceutická fakulta" "Lekárske vedy" "Univerzita Komenského v Bratislave" 4 0.0333333333333333 31 0.258333333333333 120 10.9544511501033
"178" "UK - Filozofická fakulta" "Humanitné vedy" "Univerzita Komenského v Bratislave" 1 0.0185185185185185 26 0.481481481481481 54 7.34846922834953
"179" "UK - Filozofická fakulta" "Spoločenské vedy" "Univerzita Komenského v Bratislave" 1 0.0416666666666667 10 0.416666666666667 24 4.89897948556636
"180" "UK - Jesseniova lekárska fakulta v Martine" "Lekárske vedy" "Univerzita Komenského v Bratislave" 0 0 61 0.245967741935484 248 15.7480157480236
"181" "UK - Lekárska fakulta" "Lekárske vedy" "Univerzita Komenského v Bratislave" 12 0.021978021978022 173 0.316849816849817 546 23.3666428910958
"182" "UK - Lekárska fakulta" "Prírodné vedy" "Univerzita Komenského v Bratislave" 0 0 0 0 1 1
"183" "UK - mimo fakúlt" "Lekárske vedy" "Univerzita Komenského v Bratislave" 0 0 0 0 3 1.73205080756888
"184" "UK - mimo fakúlt" "Prírodné vedy" "Univerzita Komenského v Bratislave" 0 0 0 0 1 1
"185" "UK - Pedagogická fakulta" "Humanitné vedy" "Univerzita Komenského v Bratislave" 0 0 10 0.666666666666667 15 3.87298334620742
"186" "UK - Pedagogická fakulta" "Spoločenské vedy" "Univerzita Komenského v Bratislave" 0 0 1 0.0476190476190476 21 4.58257569495584
"187" "UK - Právnická fakulta" "Spoločenské vedy" "Univerzita Komenského v Bratislave" 0 0 2 0.4 5 2.23606797749979
"188" "UK - Prírodovedecká fakulta" "Prírodné vedy" "Univerzita Komenského v Bratislave" 5 0.010989010989011 97 0.213186813186813 455 21.3307290077015
"189" "UK - Prírodovedecká fakulta" "Spoločenské vedy" "Univerzita Komenského v Bratislave" 0 0 1 0.5 2 1.4142135623731
"190" "UK - Rímskokatolícka cyrilometodská bohoslovecká fakulta" "Humanitné vedy" "Univerzita Komenského v Bratislave" 0 0 0 0 2 1.4142135623731
"191" "UKF - Fakulta prírodných vied" "Lekárske vedy" "Univerzita Konštantína Filozofa v Nitre" 0 0 0 0 1 1
