"VS_F" "VS_NAZOV" "miestny" "preds" "sum" "FOS" "freq_pr" "freq_miestny" "Size" "stud_avg"
"122" "VŠMU - Filmová a televízna fakulta" "Vysoká škola múzických umení v Bratislave" 0 0 1 "Humanitné vedy" 0 0 1 297.5
"123" "VŠMU - Hudobná a tanečná fakulta" "Vysoká škola múzických umení v Bratislave" 0 0 2 "Humanitné vedy" 0 0 1.4142135623731 427.5
"124" "VŠVU - Nemá fakulty" "Vysoká škola výtvarných umení v Bratislave" 0 0 5 "Humanitné vedy" 0 0 2.23606797749979 626
"125" "VŠZaSP - Nemá fakulty" "Vysoká škola zdravotníctva a sociálnej práce sv. Alžbety v Bratislave" 6 3 29 "Lekárske vedy" 0.103448275862069 0.206896551724138 5.3851648071345 8521.5
"126" "ŽU - Fakulta bezpečnostného inžinierstva " "Žilinská univerzita v Žiline" 18 1 43 "Spoločenské vedy" 0.0232558139534884 0.418604651162791 6.557438524302 882.5
"127" "ŽU - Fakulta elektrotechnická" "Žilinská univerzita v Žiline" 38 1 118 "Prírodné vedy" 0.00847457627118644 0.322033898305085 10.8627804912002 1202
"128" "ŽU - Fakulta humanitných vied" "Žilinská univerzita v Žiline" 3 0 11 "Spoločenské vedy" 0 0.272727272727273 3.3166247903554 686
"129" "ŽU - Fakulta PEDAS" "Žilinská univerzita v Žiline" 21 2 127 "Technické vedy" 0.015748031496063 0.165354330708661 11.2694276695846 2296
"130" "ŽU - Fakulta riadenia a informatiky" "Žilinská univerzita v Žiline" 21 0 70 "Prírodné vedy" 0 0.3 8.36660026534076 1555
"131" "ŽU - Fakulta stavebná" "Žilinská univerzita v Žiline" 10 0 113 "Technické vedy" 0 0.0884955752212389 10.6301458127346 691
"132" "ŽU - Fakulta strojnícka" "Žilinská univerzita v Žiline" 141 3 273 "Technické vedy" 0.010989010989011 0.516483516483517 16.5227116418583 1113
"133" "ŽU - mimo fakúlt" "Žilinská univerzita v Žiline" 0 0 3 "Technické vedy" 0 0 1.73205080756888 45
"134" "ŽU - Univerzitný vedecký park" "Žilinská univerzita v Žiline" 2 0 11 "Technické vedy" 0 0.181818181818182 3.3166247903554 0
"135" "ŽU - Výskumné centrum" "Žilinská univerzita v Žiline" 5 0 25 "Technické vedy" 0 0.2 5 0
"136" "ŽU - Výskumný ústav vysokohorskej biológie" "Žilinská univerzita v Žiline" 0 0 2 "Prírodné vedy" 0 0 1.4142135623731 0
